id,variants,text,otv
1,"A. От 10 Мбит/с до 1000 Мбит/с","1. Определите скорость передачи данных по оптоволоконному кабелю:","C. От 100 Мбит/с до 10Гбит/с"
2,"B. Менее 10 Мбит/с","2. Название топологии компьютерной сети, в которой все компьютеры сети присоединены к центральному узлу:","B. Звезда"
3,"C. От 100 Мбит/с до 10Гбит/с","3. Что такое система технических средств и среда распространения сигналов для передачи сообщений от источника к приемнику?","C. Канал связи"
4,"D. До 300 Мбит/с","4. Название системы связанных между собой компьютеров, которые расположены в одном помещении:","A. Локальной сетью"
5,"A. Нет правильного ответа","5. Чем измеряется скорость передачи информации:","B. Бит/c"
6,"B. Звезда","6. Название системы связанных между собой компьютеров, которые расположены на большом удалении друг от друга:","C. Глобальной сетью"
7,"C. Кольцо","7. Какая из приведенных схем соединения компьютеров представляет собой замкнутую цепочку:","B. Кольцо"
8,"D. Шина","8. Размер пакетов? которыми передаются данные в сети: (примерно)","B. 1,5 Кб"
9,"A. Сообщение","9. Кабель, обеспечивающий скорость передачи данных до 10 Мбит/с:","D. Витая пара"
10,"B. Адаптер","10. Для каких целей применяют коммутаторы или свитчи?","B. Объединения компьютеров в единую сеть"
11,"C. Канал связи","11. Интернет – это:","B. Глобальная сеть"
12,"D. Компьютерная сеть","12. Выберите домен верхнего уровня в Интернете, принадлежащий России:","D. ru"
13,"A. Локальной сетью","13. Сети, объединяющие компьютеры в пределах одного региона:","B. Региональные"
14,"B. Провайдерами","14. Модем - это...","D. Техническое устройство"
15,"C. Глобальной сетью","15. Скорость передачи данных по оптоволоконному кабелю:","B. от 100 Мбит/с до 10Гбит/с"
16,"D. Абонентами","16. Систему связанных между собой компьютеров, расположенных в одном помещении, называют:","A. Локальной сетью"
17,"A. Бит","17. Каждый компьютер, подключенный к локальной сети, должен иметь:","C. Модем"
18,"B. Бит/c","18. Систему связанных между собой компьютеров, расположенных на большом удалении друг от друга, называют:","B. Глобальной сетью"
19,"C. Мбит","19. Программа просмотра гипертекстовых страниц WWW :","A. Браузер"
20,"D. Час","20. Электронная почта (e-mail) позволяет передавать:","A. Сообщения и приложенные файлы"
21,"A. Локальной сетью",,
22,"B. Провайдерами",,
23,"C. Глобальной сетью",,
24,"D. Абонентами",,
25,"A. Звезда",,
26,"B. Кольцо",,
27,"C. Шина",,
28,"D. Нет правильного ответа",,
29,"A. 1,5 Гб",,
30,"B. 1,5 Кб",,
31,"C. 1,5 Байт",,
32,"D. 1,5 М/б",,
33,"A. Оптоволокно",,
34,"B. Коаксиальный",,
35,"C. Нет правильного",,
36,"D. Витая пара",,
37,"A. Усиления сигнала",,
38,"B. Объединения компьютеров в единую сеть",,
39,"C. Нет правильного",,
40,"D. Для выбора маршрута",,
41,"A. Локальная сеть",,
42,"B. Глобальная сеть",,
43,"C. Корпоративная сеть",,
44,"D. Региональная сеть",,
45,"A. ra",,
46,"B. ro",,
47,"C. rus",,
48,"D. ru",,
49,"A. Локальные",,
50,"B. Региональные",,
51,"C. Корпоративные",,
52,"D. Почтовые",,
53,"A. Почтовая программа",,
54,"B. Сетевой протокол",,
55,"C. Сервер Интернет",,
56,"D. Техническое устройство",,
57,"A. до 300 Мбит/с",,
58,"B. от 100 Мбит/с до 10Гбит/с",,
59,"C. от 10 Мбит/с до 1000 Мбит/с",,
60,"D. менее 10 Мбит/с",,
61,"A. Локальной сетью",,
62,"B. Глобальной сетью",,
63,"C. Абонентами",,
64,"D. Провайдерами",,
65,"A. Цифровую видеокамеру",,
66,"B. Принтер",,
67,"C. Модем",,
68,"D. Сканер",,
69,"A. Локальной сетью",,
70,"B. Глобальной сетью",,
71,"C. Абонентами",,
72,"D. Провайдерами",,
73,"A. Браузер",,
74,"B. Протокол",,
75,"C. Сервер",,
76,"D. HTML",,
77,"A. Сообщения и приложенные файлы",,
78,"B. Исключительно текстовые сообщения",,
79,"C. Исполняемые программы",,
80,"D. www-страницы",,
